symbol,system,buy_date,buy_price,sell_date,sell_price,qty,pnl_pct,pnl_dollars,original_qty,purchase_value,recorded_at
F,IND,2026-05-26,15.15,2026-05-29,16.91,4960.0,11.617162,8729.6,4960.0,75144.0,2026-07-01 09:27:08 EDT
FEIM,IND,2026-05-26,70.4,2026-05-29,72.25,981.0,2.627841,1814.85,981.0,69062.4,2026-07-01 09:27:08 EDT
HPQ,IND,2026-05-26,24.6,2026-05-29,27.04,3066.0,9.918699,7481.04,3066.0,75423.6,2026-07-01 09:27:08 EDT
ADI,RL,2026-05-26,420.34,2026-06-01,405.51,189.0,-3.528096,-2802.87,189.0,79444.26,2026-07-01 09:27:08 EDT
FSLR,IND,2026-05-29,303.94,2026-06-01,294.674242,330.0,-3.048548,-3057.7,330.0,100300.2,2026-07-01 09:27:08 EDT
GNRC,IND,2026-05-29,281.38,2026-06-01,270.05,356.0,-4.026583,-4033.48,356.0,100171.28,2026-07-01 09:27:08 EDT
CLF,IND,2026-05-29,13.17,2026-06-02,14.56,7524.0,10.55429,10458.36,7524.0,99091.08,2026-07-01 09:27:08 EDT
HBM,IND,2026-05-29,28.04,2026-06-02,31.45,3566.0,12.161198,12160.06,3566.0,99990.64,2026-07-01 09:27:08 EDT
YETI,IND,2026-05-29,46.36,2026-06-02,44.89,2140.0,-3.170837,-3145.8,2140.0,99210.4,2026-07-01 09:27:08 EDT
AEHR,IND,2026-06-04,111.85,2026-06-04,104.8252,873.0,-6.280554,-6132.65,873.0,97645.05,2026-07-01 09:27:08 EDT
CLS,RL,2026-06-03,449.273571,2026-06-04,414.62,224.0,-7.713245,-7762.4,156.0,100637.28,2026-07-01 09:27:08 EDT
EXTR,IND,2026-06-02,28.73,2026-06-04,27.95,3555.0,-2.714932,-2772.9,3555.0,102135.15,2026-07-01 09:27:08 EDT
SANM,IND,2026-06-03,283.9,2026-06-04,271.468924,353.0,-4.378681,-4388.17,353.0,100216.7,2026-07-01 09:27:08 EDT
VSXY,IND,2026-06-03,76.52,2026-06-04,73.56,1307.0,-3.86827,-3868.72,1307.0,100011.64,2026-07-01 09:27:08 EDT
AOSL,IND,2026-06-03,49.84,2026-06-05,47.0,2018.0,-5.698234,-5731.12,2018.0,100577.12,2026-07-01 09:27:08 EDT
FTRE,IND,2026-06-05,17.3,2026-06-05,16.76,5780.0,-3.121387,-3121.2,5780.0,99994.0,2026-07-01 09:27:08 EDT
PPTA,BRT,2026-06-04,25.20715,2026-06-05,23.715784,3719.0,-5.91644,-5546.39,3379.0,93745.39,2026-07-01 09:27:08 EDT
AMH,IND,2026-06-08,33.21,2026-06-09,33.23,3000.0,0.060223,60.0,3000.0,99630.0,2026-07-01 09:27:08 EDT
HLT,IND,2026-06-08,341.376027,2026-06-09,345.07,292.0,1.082083,1078.64,100.0,99681.8,2026-07-01 09:27:08 EDT
BABA,BRT,2026-05-26,129.7,2026-06-10,115.85,577.0,-10.678489,-7991.45,577.0,74836.9,2026-07-01 09:27:08 EDT
AMKR,RL,2026-06-10,69.42,2026-06-12,80.65,1441.0,16.176894,16182.43,1441.0,100034.22,2026-07-01 09:27:08 EDT
BDGIF,IND,2026-06-08,66.42,2026-06-12,65.86875,800.0,-0.829946,-441.0,800.0,53136.0,2026-07-01 09:27:08 EDT
ACN,BRT,2026-05-26,174.539234,2026-06-17,157.526077,418.0,-9.747469,-7111.5,120.0,72957.4,2026-07-01 09:27:08 EDT
AKAM,RL,2026-06-11,131.49,2026-06-22,120.77,647.0,-8.152711,-6935.84,647.0,85074.03,2026-07-01 09:27:08 EDT
APLD,IND,2026-06-18,46.5,2026-06-23,42.07,1506.0,-9.526882,-6671.58,1506.0,70029.0,2026-07-01 09:27:08 EDT
