Stock	Entry Date	Entry Price	Exit Date	Exit Price	Profit %	Days In Trade	Result	Profit per trade
AAL	4/9/2025	$10.53	9/3/2025	$13.58	29.00%	147	WIN	$13,775.00
AAL	1/4/2024	$13.05	5/29/2024	$12.10	-7.32%	146	LOSS	-$3,474.96
AAL	3/24/2023	$13.96	7/3/2023	$18.01	29.00%	101	WIN	$13,775.00
AAL	8/23/2021	$19.40	11/26/2021	$17.57	-9.44%	95	LOSS	-$4,484.24
AAL	10/1/2025	$11.36	12/4/2025	$14.65	29.00%	64	WIN	$13,775.00
AAL	4/6/2022	$17.14	5/12/2022	$15.72	-8.29%	36	LOSS	-$3,937.40
AAL	11/5/2024	$14.01	12/6/2024	$18.07	29.00%	31	WIN	$13,775.00
AAL	5/25/2022	$16.37	6/13/2022	$14.39	-12.08%	19	LOSS	-$5,736.73
AAL	2/24/2023	$15.74	3/15/2023	$14.35	-8.85%	19	LOSS	-$4,206.07
AAL	9/21/2023	$13.09	10/9/2023	$12.08	-7.74%	18	LOSS	-$3,677.28
AAL	2/3/2025	$16.75	2/21/2025	$15.15	-9.56%	18	LOSS	-$4,538.79
AAL	8/29/2023	$14.93	9/13/2023	$13.72	-8.10%	15	LOSS	-$3,848.17
AAPL	9/28/2023	$172.02	7/5/2024	$221.91	29.00%	281	WIN	$13,775.00
AAPL	2/1/2023	$148.90	6/30/2023	$192.08	29.00%	149	WIN	$13,775.00
AAPL	5/23/2025	$198.30	9/22/2025	$255.81	29.00%	122	WIN	$13,775.00
AAPL	10/3/2022	$145.03	12/28/2022	$128.60	-11.33%	86	LOSS	-$5,380.32
AAPL	9/9/2022	$159.59	9/29/2022	$144.54	-9.43%	20	LOSS	-$4,480.49
AAPL	5/13/2022	$145.55	5/20/2022	$133.66	-8.17%	7	LOSS	-$3,878.73
ACLS	2/8/2024	$124.62	4/16/2024	$102.74	-17.56%	68	LOSS	-$8,339.75
ACLS	1/2/2026	$88.20	2/18/2026	$76.22	-13.58%	47	LOSS	-$6,449.80
ACLS	8/21/2025	$79.38	9/23/2025	$102.40	29.00%	33	WIN	$13,775.00
ACLS	10/23/2025	$85.38	11/20/2025	$74.88	-12.30%	28	LOSS	-$5,842.21
