Stock	Entry Date	Entry Price	Exit Date	Exit Price	Profit %	Days In Trade	Result	Profit per trade
AMZN	4/13/2023	$102.07	7/3/2023	$131.67	29.00%	81	WIN	$13,775.00
AMZN	9/28/2023	$128.20	2/2/2024	$169.19	31.97%	127	WIN	$15,187.40
GOOGL	7/9/2025	$175.63	9/3/2025	$226.56	29.00%	56	WIN	$13,775.00
META	4/22/2025	$528.53	6/4/2025	$681.80	29.00%	43	WIN	$13,775.00
MSFT	12/8/2022	$244.70	1/4/2023	$227.02	-7.23%	27	LOSS	-$3,432.34
MSFT	5/25/2023	$324.02	2/9/2024	$417.99	29.00%	260	WIN	$13,775.00
NFLX	11/10/2020	$48.30	10/4/2021	$62.31	29.00%	328	WIN	$13,775.00
NFLX	10/30/2023	$40.92	1/24/2024	$53.78	31.43%	86	WIN	$14,927.91
NVDA	3/8/2022	$22.39	3/29/2022	$28.88	29.00%	21	WIN	$13,775.00
NVDA	12/28/2022	$14.40	1/23/2023	$18.58	29.00%	26	WIN	$13,775.00
NVDA	5/15/2023	$28.84	5/25/2023	$38.52	33.56%	10	WIN	$15,943.13
NVDA	5/23/2025	$134.15	7/17/2025	$173.05	29.00%	55	WIN	$13,775.00
TSLA	2/24/2022	$269.74	3/28/2022	$355.03	31.62%	32	WIN	$15,019.19
TSLA	6/17/2022	$224.60	7/29/2022	$289.73	29.00%	42	WIN	$13,775.00
TSLA	7/24/2023	$272.38	8/14/2023	$237.35	-12.86%	21	LOSS	-$6,109.17
TSLA	12/13/2023	$241.22	1/16/2024	$213.14	-11.64%	34	LOSS	-$5,529.63
TSLA	8/5/2024	$200.75	9/26/2024	$260.60	29.81%	52	WIN	$14,161.27
TSLA	10/23/2025	$446.83	11/14/2025	$386.58	-13.48%	22	LOSS	-$6,404.56
TSLA	1/21/2026	$435.16	2/5/2026	$391.93	-9.94%	15	LOSS	-$4,719.32
AAPL	9/9/2022	$159.59	9/29/2022	$144.54	-9.43%	20	LOSS	-$4,480.49
AAPL	10/3/2022	$145.03	12/28/2022	$128.60	-11.33%	86	LOSS	-$5,380.32
AAPL	5/23/2025	$198.30	9/22/2025	$255.81	29.00%	122	WIN	$13,775.00
